loss,accuracy
2.14375901222229,0.30017998814582825
1.558464527130127,0.43248000741004944
1.3991682529449463,0.4917199909687042
1.297025203704834,0.5296400189399719
1.2235581874847412,0.558459997177124
1.1713008880615234,0.5812000036239624
1.129555106163025,0.59579998254776
1.0925922393798828,0.6115999817848206
1.0659576654434204,0.6218199729919434
1.034939169883728,0.6301199793815613
1.0133066177368164,0.6396399736404419
0.9821581840515137,0.6517400145530701
0.967829167842865,0.6563199758529663
0.9436517357826233,0.6669999957084656
0.926251232624054,0.6730599999427795
0.9049370288848877,0.6804800033569336
0.8904655575752258,0.6861000061035156
0.8754100203514099,0.6916999816894531
0.8618834614753723,0.6967399716377258
0.8444747924804688,0.7015600204467773
0.8351303935050964,0.7036399841308594
0.821282684803009,0.710319995880127
0.8073333501815796,0.7163400053977966
0.7989954948425293,0.7200199961662292
0.7846551537513733,0.7246000170707703
0.7759802937507629,0.7241799831390381
0.7655080556869507,0.732200026512146
0.7578064799308777,0.7332199811935425
0.7445940375328064,0.7380200028419495
0.7363683581352234,0.7402999997138977
0.7236577272415161,0.7466199994087219
0.7218592762947083,0.7452800273895264
0.7092927098274231,0.7503799796104431
0.7024449706077576,0.7542399764060974
0.6943859457969666,0.7563400268554688
0.69134521484375,0.7592399716377258
0.6851025223731995,0.7580000162124634
0.6789199709892273,0.763260006904602
0.6705763339996338,0.7646399736404419
0.6674595475196838,0.7653999924659729
0.6560946702957153,0.7712600231170654
0.6509523391723633,0.7714200019836426
0.6467410922050476,0.7725399732589722
0.6337128281593323,0.7771400213241577
0.6277188062667847,0.7810199856758118
0.6237056255340576,0.7824400067329407
0.6190415620803833,0.7824000120162964
0.6116992235183716,0.7867799997329712
0.6083518266677856,0.78684002161026
0.6040108799934387,0.7897800207138062
0.5976754426956177,0.7917600274085999
0.592134416103363,0.7941399812698364
0.5889879465103149,0.7950000166893005
0.583935022354126,0.7960000038146973
0.5809780955314636,0.7977200150489807
0.5729613900184631,0.7982199788093567
0.5727007985115051,0.7981600165367126
0.564578652381897,0.8033999800682068
0.5607731938362122,0.803600013256073
0.554351270198822,0.8073199987411499
0.547705352306366,0.8084999918937683
0.5493096709251404,0.8071600198745728
0.545444905757904,0.8100200295448303
0.5404849648475647,0.8105199933052063
